"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
0.00,0.3,1.4
0.01,0.2,1.3
0.02,0.3,1.4
0.03,-0.2,1.1
0.04,0.6,1.5
0.05,0.3,1.3
0.06,0.2,1.3
0.07,0.2,1.3
0.08,-0.2,1.1
0.09,0.6,1.5
0.10,0.2,1.4
0.11,0.3,1.4
0.12,0.3,1.3
0.13,-0.1,1.1
0.14,0.6,1.5
0.15,0.2,1.3
0.16,0.2,1.3
0.17,0.3,1.4
0.18,-0.1,1.1
0.19,0.6,1.5
0.20,0.3,1.3
0.21,0.2,1.3
0.22,0.3,1.3
0.23,-0.2,1.1
0.24,0.6,1.5
0.25,0.2,1.3
0.26,0.2,1.3
0.27,0.3,1.3
0.28,-0.1,1.1
0.29,0.5,1.5
0.30,0.3,1.3
0.31,0.2,1.3
0.32,0.4,1.3
0.33,-0.1,1.1
0.34,0.6,1.5
0.35,0.2,1.3
0.36,0.3,1.3
0.37,0.2,1.3
0.38,-0.0,1.1
0.39,0.6,1.5
0.40,0.2,1.2
0.41,0.3,1.3
0.42,0.2,1.2
0.43,-0.1,1.1
0.44,0.6,1.4
0.45,0.2,1.2
0.46,0.3,1.3
0.47,0.3,1.2
0.48,-0.1,1.1
0.49,0.5,1.4
0.50,0.2,1.3
0.51,0.2,1.2
0.52,0.3,1.2
0.53,-0.1,1.0
0.54,0.5,1.4
0.55,0.2,1.2
0.56,0.3,1.2
0.57,0.3,1.4
0.58,-0.1,1.0
0.59,0.4,1.3
0.60,0.2,1.2
0.61,0.2,1.2
0.62,0.3,1.2
0.63,-0.2,1.0
0.64,0.3,1.2
0.65,0.2,1.2
0.66,0.2,1.2
0.67,0.3,1.2
0.68,-0.2,1.0
0.69,0.3,1.2
0.70,0.2,1.2
0.71,0.2,1.2
0.72,0.3,1.2
0.73,-0.2,1.0
0.74,0.3,1.2
0.75,0.2,1.2
0.76,0.3,1.2
0.77,0.2,1.2
0.78,-0.2,1.0
0.79,0.3,1.2
0.80,0.2,1.2
0.81,0.2,1.1
0.82,0.4,1.3
0.83,-0.2,1.0
0.84,0.3,1.2
0.85,0.2,1.2
0.86,0.3,1.2
0.87,0.4,1.2
0.88,-0.2,0.9
0.89,0.3,1.2
0.90,0.3,1.2
0.91,0.2,1.2
0.92,0.3,1.2
0.93,-0.1,1.0
0.94,0.3,1.2
0.95,0.3,1.1
0.96,0.2,1.1
0.97,0.3,1.2
0.98,-0.2,0.9
0.99,0.4,1.2
1.00,0.3,1.1
1.01,0.3,1.1
1.02,0.4,1.2
1.03,-0.1,0.9
1.04,0.4,1.2
1.05,0.3,1.2
1.06,0.3,1.1
1.07,0.3,1.1
1.08,-0.1,0.9
1.09,0.4,1.1
1.10,0.3,1.1
1.11,0.3,1.1
1.12,0.4,1.2
1.13,-0.1,0.9
1.14,0.3,1.2
1.15,0.3,1.1
1.16,0.4,1.1
1.17,0.3,1.1
1.18,-0.1,0.9
1.19,0.3,1.1
1.20,0.3,1.1
1.21,0.3,1.1
1.22,0.3,1.1
1.23,-0.1,0.9
1.24,0.3,1.1
1.25,0.3,1.1
1.26,0.3,1.1
1.27,0.3,1.1
1.28,-0.1,0.9
1.29,0.3,1.1
1.30,0.3,1.1
1.31,0.3,1.1
1.32,0.3,1.1
1.33,-0.1,1.0
1.34,0.3,1.1
1.35,0.3,1.1
1.36,0.2,1.1
1.37,0.3,1.1
1.38,-0.0,0.9
1.39,0.3,1.1
1.40,0.3,1.1
1.41,0.2,1.1
1.42,0.3,1.1
1.43,-0.0,0.9
1.44,0.3,1.1
1.45,0.3,1.1
1.46,0.3,1.1
1.47,0.3,1.1
1.48,-0.0,0.9
1.49,0.3,1.1
1.50,0.3,1.1
1.51,0.2,1.0
1.52,0.4,1.1
1.53,-0.0,0.9
1.54,0.3,1.0
1.55,0.3,1.0
1.56,0.2,1.0
1.57,0.3,1.1
1.58,-0.1,0.9
1.59,0.3,1.1
1.60,0.3,1.1
1.61,0.3,1.0
1.62,0.3,1.0
1.63,-0.0,0.9
1.64,0.3,1.0
1.65,0.3,1.0
1.66,0.2,1.0
1.67,0.4,1.1
1.68,-0.0,0.9
1.69,0.3,1.0
1.70,0.3,1.0
1.71,0.2,1.0
1.72,0.3,1.0
1.73,-0.0,0.9
1.74,0.3,1.0
1.75,0.3,1.0
1.76,0.2,1.0
1.77,0.2,1.0
1.78,-0.1,0.9
1.79,0.3,1.0
1.80,0.3,1.0
1.81,0.2,1.0
1.82,0.3,1.1
1.83,-0.1,0.9
1.84,0.3,1.0
1.85,0.3,1.0
1.86,0.3,1.0
1.87,0.3,1.0
1.88,-0.1,0.9
1.89,0.3,1.0
1.90,0.2,1.0
1.91,0.3,1.0
1.92,0.3,1.0
1.93,-0.0,0.9
1.94,0.3,1.0
1.95,0.3,1.0
1.96,0.3,1.0
1.97,0.3,1.0
1.98,-0.0,0.9
1.99,0.3,1.0
2.00,0.3,1.0
2.01,0.2,1.0
2.02,0.3,1.0
2.03,-0.0,0.9
2.04,0.3,1.0
2.05,0.3,1.0
2.06,0.3,1.0
2.07,0.3,1.0
2.08,-0.0,0.9
2.09,0.3,1.0
2.10,0.2,1.0
2.11,0.2,1.0
2.12,0.3,1.0
2.13,-0.0,0.8
2.14,0.3,1.0
2.15,0.3,1.0
2.16,0.2,1.0
2.17,0.3,1.0
2.18,-0.0,0.9
2.19,0.3,1.0
2.20,0.2,1.0
2.21,0.3,1.0
2.22,0.3,1.0
2.23,-0.0,0.8
2.24,0.3,1.0
2.25,0.3,1.0
2.26,0.3,1.0
2.27,0.3,1.0
2.28,-0.0,0.8
2.29,0.3,0.9
2.30,0.2,0.9
2.31,0.2,0.9
2.32,0.4,1.0
2.33,-0.0,0.8
2.34,0.3,1.0
2.35,0.2,1.0
2.36,0.1,0.9
2.37,0.4,1.0
2.38,0.0,0.8
2.39,0.3,0.9
2.40,0.3,1.0
2.41,0.2,0.9
2.42,0.3,1.0
2.43,-0.0,0.8
2.44,0.3,0.9
2.45,0.3,1.0
2.46,0.4,0.9
2.47,0.4,1.0
2.48,-0.0,0.8
2.49,0.3,0.9
2.50,0.3,0.9
2.51,0.2,0.9
2.52,0.5,1.1
2.53,-0.0,0.8
2.54,0.3,0.9
2.55,0.2,0.9
2.56,0.4,0.9
2.57,0.1,1.1
2.58,-0.0,0.8
2.59,0.3,0.9
2.60,0.3,0.9
2.61,0.2,0.9
2.62,0.8,1.0
2.63,-0.0,0.8
2.64,0.3,0.9
2.65,0.3,0.9
2.66,0.2,0.9
