"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)","Run 2: Time (s)","Run 2: Temperature (°C)","Run 2: Temperature (°C)","Run 3: Time (s)","Run 3: Temperature (°C)","Run 3: Temperature (°C)"
0.00,0.3,1.4,0.00,0.3,2.3,0.00,0.2,2.0
0.01,0.2,1.3,0.01,0.2,2.2,0.01,0.3,2.0
0.02,0.3,1.4,0.02,0.6,2.4,0.02,0.3,2.0
0.03,-0.2,1.1,0.03,0.0,2.2,0.03,0.3,2.0
0.04,0.6,1.5,0.04,0.2,2.3,0.04,0.6,2.2
0.05,0.3,1.3,0.05,0.3,2.3,0.05,0.2,1.9
0.06,0.2,1.3,0.06,0.2,2.3,0.06,0.3,2.0
0.07,0.2,1.3,0.07,0.6,2.4,0.07,0.3,2.0
0.08,-0.2,1.1,0.08,0.0,2.2,0.08,0.4,2.0
0.09,0.6,1.5,0.09,0.3,2.3,0.09,0.6,2.2
0.10,0.2,1.4,0.10,0.3,2.3,0.10,0.1,1.9
0.11,0.3,1.4,0.11,0.3,2.3,0.11,0.3,2.0
0.12,0.3,1.3,0.12,0.6,2.4,0.12,0.3,2.0
0.13,-0.1,1.1,0.13,0.0,2.2,0.13,0.3,2.0
0.14,0.6,1.5,0.14,0.3,2.2,0.14,0.6,2.2
0.15,0.2,1.3,0.15,0.3,2.2,0.15,0.2,1.9
0.16,0.2,1.3,0.16,0.3,2.2,0.16,0.3,2.0
0.17,0.3,1.4,0.17,0.6,2.4,0.17,0.3,2.0
0.18,-0.1,1.1,0.18,0.0,2.1,0.18,0.3,2.0
0.19,0.6,1.5,0.19,0.3,2.2,0.19,0.6,2.2
0.20,0.3,1.3,0.20,0.3,2.2,0.20,0.2,1.9
0.21,0.2,1.3,0.21,0.2,2.2,0.21,0.3,2.0
0.22,0.3,1.3,0.22,0.6,2.3,0.22,0.3,2.0
0.23,-0.2,1.1,0.23,0.0,2.1,0.23,0.3,2.0
0.24,0.6,1.5,0.24,0.2,2.2,0.24,0.6,2.2
0.25,0.2,1.3,0.25,0.3,2.2,0.25,0.1,1.9
0.26,0.2,1.3,0.26,0.2,2.2,0.26,0.3,2.0
0.27,0.3,1.3,0.27,0.6,2.3,0.27,0.3,2.0
0.28,-0.1,1.1,0.28,0.0,2.1,0.28,0.3,2.0
0.29,0.5,1.5,0.29,0.2,2.2,0.29,0.6,2.2
0.30,0.3,1.3,0.30,0.3,2.2,0.30,0.2,1.9
0.31,0.2,1.3,0.31,0.2,2.2,0.31,0.3,2.0
0.32,0.4,1.3,0.32,0.6,2.3,0.32,0.3,2.0
0.33,-0.1,1.1,0.33,0.1,2.1,0.33,0.3,2.0
0.34,0.6,1.5,0.34,0.2,2.2,0.34,0.6,2.2
0.35,0.2,1.3,0.35,0.3,2.2,0.35,0.1,1.9
0.36,0.3,1.3,0.36,0.2,2.2,0.36,0.3,2.0
0.37,0.2,1.3,0.37,0.6,2.3,0.37,0.3,2.0
0.38,-0.0,1.1,0.38,0.0,2.1,0.38,0.3,1.9
0.39,0.6,1.5,0.39,0.3,2.2,0.39,0.6,2.1
0.40,0.2,1.2,0.40,0.4,2.2,0.40,0.1,1.9
0.41,0.3,1.3,0.41,0.2,2.1,0.41,0.3,2.0
0.42,0.2,1.2,0.42,0.6,2.3,0.42,0.3,2.0
0.43,-0.1,1.1,0.43,0.0,2.0,0.43,0.2,1.9
0.44,0.6,1.4,0.44,0.3,2.1,0.44,0.6,2.2
0.45,0.2,1.2,0.45,0.2,2.1,0.45,0.1,1.9
0.46,0.3,1.3,0.46,0.2,2.1,0.46,0.3,1.9
0.47,0.3,1.2,0.47,0.6,2.2,0.47,0.3,2.0
0.48,-0.1,1.1,0.48,0.1,2.0,0.48,0.3,1.9
0.49,0.5,1.4,0.49,0.2,2.1,0.49,0.6,2.1
0.50,0.2,1.3,0.50,0.3,2.1,0.50,0.1,1.9
0.51,0.2,1.2,0.51,0.2,2.1,0.51,0.3,1.9
0.52,0.3,1.2,0.52,0.6,2.2,0.52,0.3,2.0
0.53,-0.1,1.0,0.53,0.0,2.0,0.53,0.3,1.9
0.54,0.5,1.4,0.54,0.2,2.1,0.54,0.6,2.1
0.55,0.2,1.2,0.55,0.3,2.1,0.55,0.2,1.9
0.56,0.3,1.2,0.56,0.2,2.1,0.56,0.3,1.9
0.57,0.3,1.4,0.57,0.6,2.2,0.57,0.3,2.0
0.58,-0.1,1.0,0.58,0.0,2.0,0.58,0.4,1.9
0.59,0.4,1.3,0.59,0.3,2.1,0.59,0.6,2.1
0.60,0.2,1.2,0.60,0.3,2.1,0.60,0.2,1.9
0.61,0.2,1.2,0.61,0.2,2.0,0.61,0.3,1.9
0.62,0.3,1.2,0.62,0.6,2.2,0.62,0.3,2.0
0.63,-0.2,1.0,0.63,0.1,2.0,0.63,0.3,2.0
0.64,0.3,1.2,0.64,0.3,2.1,0.64,0.6,2.1
0.65,0.2,1.2,0.65,0.3,2.1,0.65,0.1,1.9
0.66,0.2,1.2,0.66,0.2,2.0,0.66,0.3,1.9
0.67,0.3,1.2,0.67,0.6,2.2,0.67,0.3,1.9
0.68,-0.2,1.0,0.68,0.1,2.0,0.68,0.4,1.9
0.69,0.3,1.2,0.69,0.2,2.0,0.69,0.6,2.1
0.70,0.2,1.2,0.70,0.3,2.0,0.70,0.2,1.8
0.71,0.2,1.2,0.71,0.2,2.0,0.71,0.3,1.9
0.72,0.3,1.2,0.72,0.6,2.2,0.72,0.3,1.9
0.73,-0.2,1.0,0.73,0.1,2.0,0.73,0.3,1.9
0.74,0.3,1.2,0.74,0.2,2.0,0.74,0.5,2.1
0.75,0.2,1.2,0.75,0.3,2.0,0.75,0.2,1.8
0.76,0.3,1.2,0.76,0.2,2.0,0.76,0.3,1.9
0.77,0.2,1.2,0.77,0.6,2.2,0.77,0.2,1.9
0.78,-0.2,1.0,0.78,0.1,1.9,0.78,0.2,1.8
0.79,0.3,1.2,0.79,0.2,2.0,0.79,0.6,2.0
0.80,0.2,1.2,0.80,0.3,2.1,0.80,0.2,1.8
0.81,0.2,1.1,0.81,0.3,2.0,0.81,0.3,1.9
0.82,0.4,1.3,0.82,0.6,2.2,0.82,0.3,1.9
0.83,-0.2,1.0,0.83,0.1,1.9,0.83,0.3,1.9
0.84,0.3,1.2,0.84,0.3,2.0,0.84,0.6,2.0
0.85,0.2,1.2,0.85,0.3,2.0,0.85,0.1,1.8
0.86,0.3,1.2,0.86,0.2,2.0,0.86,0.3,1.9
0.87,0.4,1.2,0.87,0.6,2.1,0.87,0.3,1.9
0.88,-0.2,0.9,0.88,0.1,1.9,0.88,0.2,1.8
0.89,0.3,1.2,0.89,0.2,2.0,0.89,0.6,2.0
0.90,0.3,1.2,0.90,0.3,2.0,0.90,0.1,1.8
0.91,0.2,1.2,0.91,0.2,1.9,0.91,0.3,1.9
